Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1429682,Credit card,,Credit line increase/decrease,,NC,27612,Web,6/19/2015,6/19/2015,"Continental Finance Company, LLC",In progress,Yes,
1430686,Credit card,,Billing statement,,PA,17967,Web,6/19/2015,6/19/2015,Navy FCU,In progress,Yes,
1429869,Credit card,,Advertising and marketing,,IL,60154,Web,6/19/2015,6/19/2015,Amex,Closed with explanation,Yes,
1427544,Credit card,,Billing disputes,,WI,53207,Web,6/18/2015,6/18/2015,Discover,Closed with explanation,Yes,
1427873,Credit card,,APR or interest rate,,NJ,7405,Web,6/18/2015,6/18/2015,Discover,Closed with explanation,Yes,
1428112,Credit card,,Credit determination,,NY,11414,Web,6/18/2015,6/18/2015,Army and Air Force Exchange Service,Closed with explanation,Yes,Yes
1430459,Credit card,,Billing disputes,,NJ,7753,Web,6/18/2015,6/23/2015,Navy FCU,In progress,Yes,
1425175,Credit card,,Privacy,,NC,28031,Web,6/17/2015,6/17/2015,Capital One,Closed with explanation,Yes,
1425203,Credit card,,Other,,FL,34105,Web,6/17/2015,6/17/2015,Wells Fargo,Closed with non-monetary relief,Yes,
1424483,Credit card,,Advertising and marketing,,NY,14120,Web,6/16/2015,6/18/2015,Amex,Closed with non-monetary relief,Yes,
1424843,Credit card,,Billing disputes,,FL,32817,Web,6/16/2015,6/17/2015,U.S. Bancorp,Closed with explanation,Yes,
1422868,Credit card,,Advertising and marketing,,MN,55425,Web,6/16/2015,6/16/2015,U.S. Bancorp,Closed with monetary relief,Yes,
1423026,Credit card,,Late fee,,VA,22911,Web,6/16/2015,6/16/2015,Citibank,Closed with monetary relief,Yes,
1423176,Credit card,,Customer service / Customer relations,,CA,95670,Web,6/16/2015,6/16/2015,Citibank,Closed with non-monetary relief,Yes,
1423531,Credit card,,Closing/Cancelling account,,WA,98146,Web,6/16/2015,6/16/2015,TD Bank,Closed with explanation,Yes,Yes
1424194,Credit card,,Other,,CA,92336,Web,6/16/2015,6/16/2015,Wells Fargo,Closed with explanation,Yes,
1424522,Credit card,,Late fee,,MD,20744,Web,6/16/2015,6/16/2015,"Continental Finance Company, LLC",In progress,Yes,
1421071,Credit card,,Identity theft / Fraud / Embezzlement,,CA,90019,Referral,6/15/2015,6/17/2015,Amex,Closed with explanation,Yes,
1420918,Credit card,,Billing disputes,,MD,21797,Web,6/15/2015,6/15/2015,JPMorgan Chase,Closed with monetary relief,Yes,
1420893,Credit card,,Payoff process,,OH,43223,Web,6/15/2015,6/15/2015,Citibank,Closed with non-monetary relief,Yes,
1421027,Credit card,,Closing/Cancelling account,,FL,33426,Web,6/15/2015,6/15/2015,JPMorgan Chase,Closed with explanation,Yes,Yes
1421773,Credit card,,Transaction issue,,AZ,85023,Web,6/15/2015,6/15/2015,U.S. Bancorp,Closed with explanation,Yes,
1421915,Credit card,,Customer service / Customer relations,,MO,65203,Web,6/15/2015,6/15/2015,JPMorgan Chase,Closed with explanation,Yes,
1422076,Credit card,,Credit determination,,TX,77583,Web,6/15/2015,6/15/2015,JPMorgan Chase,Closed with explanation,Yes,
1421983,Credit card,,Rewards,,KY,41076,Web,6/15/2015,6/15/2015,U.S. Bancorp,Closed with explanation,Yes,
1422270,Credit card,,Other,,MI,48236,Web,6/15/2015,6/15/2015,Citibank,Closed with explanation,Yes,
1422741,Credit card,,Billing disputes,,FL,33178,Referral,6/15/2015,6/18/2015,Amex,Closed with explanation,Yes,
1422776,Credit card,,Closing/Cancelling account,,CA,94607,Web,6/15/2015,6/16/2015,JPMorgan Chase,Closed with monetary relief,Yes,
1422839,Credit card,,Other fee,,NY,11214,Web,6/15/2015,6/16/2015,Citibank,Closed with explanation,Yes,
1424350,Credit card,,Billing disputes,,CA,91935,Web,6/15/2015,6/18/2015,Amex,Closed with explanation,Yes,Yes
1420474,Credit card,,Customer service / Customer relations,,VA,23432,Web,6/14/2015,6/14/2015,GE Capital Retail,Closed with explanation,Yes,
1420491,Credit card,,Closing/Cancelling account,,OH,45230,Web,6/14/2015,6/14/2015,Discover,Closed with explanation,Yes,
1420533,Credit card,,Rewards,,CA,94022,Web,6/14/2015,6/14/2015,Amex,Closed with explanation,Yes,
1420169,Credit card,,Late fee,,TX,77055,Web,6/13/2015,6/17/2015,JPMorgan Chase,Closed with monetary relief,Yes,
1420201,Credit card,,Credit card protection / Debt protection,,NJ,7202,Web,6/13/2015,6/17/2015,Capital One,Closed with monetary relief,Yes,
